time,open,high,low,close,tick_volume,spread,real_volume
2021-08-03 11:20:00,21.97,21.97,21.9,21.95,1296,1,526300
2021-08-03 11:25:00,21.95,21.97,21.93,21.97,2280,1,851900
2021-08-03 11:30:00,21.97,22.02,21.9,21.91,4730,1,1703200
2021-08-03 11:35:00,21.91,21.97,21.89,21.95,1209,1,847900
2021-08-03 11:40:00,21.94,21.97,21.92,21.97,1527,1,619700
2021-08-03 11:45:00,21.97,22.02,21.92,22.01,2076,1,831600
2021-08-03 11:50:00,22.02,22.08,21.97,22.07,1794,1,615800
2021-08-03 11:55:00,22.06,22.11,22.02,22.04,1334,1,693700
2021-08-03 12:00:00,22.04,22.14,22.03,22.13,812,1,379200
2021-08-03 12:05:00,22.14,22.21,22.08,22.2,1275,1,1010400
2021-08-03 12:10:00,22.2,22.21,22.16,22.19,1166,1,740600
2021-08-03 12:15:00,22.18,22.2,22.12,22.12,743,1,823500
2021-08-03 12:20:00,22.12,22.2,22.12,22.14,1258,1,730800
2021-08-03 12:25:00,22.14,22.26,22.14,22.25,1116,1,859800
2021-08-03 12:30:00,22.25,22.26,22.21,22.24,693,1,350800
2021-08-03 12:35:00,22.24,22.32,22.24,22.3,821,1,530300
2021-08-03 12:40:00,22.3,22.44,22.3,22.39,1263,1,1271200
2021-08-03 12:45:00,22.39,22.51,22.39,22.48,1670,1,2368500
2021-08-03 12:50:00,22.48,22.52,22.46,22.52,787,1,730700
2021-08-03 12:55:00,22.52,22.57,22.49,22.49,846,1,598900
2021-08-03 13:00:00,22.49,22.52,22.46,22.51,635,1,315700
2021-08-03 13:05:00,22.5,22.51,22.45,22.46,410,1,152900
2021-08-03 13:10:00,22.46,22.49,22.44,22.45,439,1,246700
2021-08-03 13:15:00,22.44,22.46,22.31,22.32,1170,1,884100
2021-08-03 13:20:00,22.32,22.39,22.32,22.36,493,1,286100
2021-08-03 13:25:00,22.37,22.41,22.36,22.38,428,1,181600
2021-08-03 13:30:00,22.37,22.39,22.34,22.36,417,1,148000
2021-08-03 13:35:00,22.36,22.39,22.34,22.35,242,1,102600
2021-08-03 13:40:00,22.35,22.35,22.3,22.33,615,1,389400
2021-08-03 13:45:00,22.33,22.35,22.29,22.3,366,1,199500
2021-08-03 13:50:00,22.3,22.41,22.3,22.41,754,1,402800
2021-08-03 13:55:00,22.41,22.43,22.38,22.41,763,1,396200
2021-08-03 14:00:00,22.41,22.46,22.4,22.42,607,1,311000
2021-08-03 14:05:00,22.41,22.47,22.41,22.44,477,1,304600
2021-08-03 14:10:00,22.44,22.5,22.42,22.49,495,1,391100
2021-08-03 14:15:00,22.49,22.53,22.47,22.5,1018,1,1167900
2021-08-03 14:20:00,22.51,22.54,22.5,22.52,553,1,431000
2021-08-03 14:25:00,22.52,22.52,22.48,22.5,346,1,198900
2021-08-03 14:30:00,22.5,22.52,22.44,22.46,573,1,328200
2021-08-03 14:35:00,22.45,22.47,22.43,22.46,951,1,512300
2021-08-03 14:40:00,22.47,22.49,22.45,22.47,673,1,403300
2021-08-03 14:45:00,22.46,22.52,22.46,22.5,632,1,355900
2021-08-03 14:50:00,22.5,22.51,22.47,22.51,590,1,207100
2021-08-03 14:55:00,22.5,22.52,22.41,22.41,659,1,358600
2021-08-03 15:00:00,22.42,22.47,22.41,22.44,376,1,154600
2021-08-03 15:05:00,22.44,22.49,22.44,22.46,397,1,188300
2021-08-03 15:10:00,22.46,22.49,22.44,22.46,315,1,314700
2021-08-03 15:15:00,22.46,22.48,22.44,22.44,317,1,118100
2021-08-03 15:20:00,22.44,22.48,22.43,22.46,379,1,228400
2021-08-03 15:25:00,22.46,22.52,22.46,22.52,454,1,252900
2021-08-03 15:30:00,22.52,22.58,22.51,22.57,634,1,607700
2021-08-03 15:35:00,22.57,22.58,22.52,22.55,670,1,580400
2021-08-03 15:40:00,22.55,22.57,22.52,22.55,426,1,299300
2021-08-03 15:45:00,22.55,22.57,22.53,22.57,428,1,196300
2021-08-03 15:50:00,22.56,22.57,22.52,22.54,389,1,118200
2021-08-03 15:55:00,22.54,22.57,22.51,22.52,490,1,245200
2021-08-03 16:00:00,22.52,22.63,22.52,22.62,689,1,413200
2021-08-03 16:05:00,22.62,22.63,22.57,22.6,367,1,177600
2021-08-03 16:10:00,22.6,22.61,22.55,22.57,683,1,436000
2021-08-03 16:15:00,22.57,22.68,22.57,22.68,1810,1,1486100
2021-08-03 16:20:00,22.67,22.69,22.63,22.64,1672,1,1028100
2021-08-03 16:25:00,22.63,22.67,22.62,22.67,755,1,400100
2021-08-03 16:30:00,22.66,22.66,22.63,22.66,657,1,333500
2021-08-03 16:35:00,22.66,22.69,22.64,22.67,1146,1,852400
2021-08-03 16:40:00,22.67,22.71,22.63,22.63,1931,1,1229600
2021-08-03 16:45:00,22.63,22.66,22.61,22.64,1549,1,820300
2021-08-03 16:50:00,22.64,22.69,22.61,22.69,4020,1,13842400
2021-08-04 10:05:00,22.44,22.63,22.41,22.54,700,1,749500
2021-08-04 10:10:00,22.52,22.52,22.42,22.51,924,1,866600
2021-08-04 10:15:00,22.5,22.5,22.41,22.44,957,1,718200
2021-08-04 10:20:00,22.46,22.55,22.4,22.53,1129,1,762200
2021-08-04 10:25:00,22.54,22.55,22.41,22.43,825,1,459100
2021-08-04 10:30:00,22.42,22.44,22.33,22.38,1796,1,1294800
2021-08-04 10:35:00,22.38,22.41,22.27,22.27,1872,1,1417000
2021-08-04 10:40:00,22.27,22.34,22.22,22.34,1774,1,1223500
2021-08-04 10:45:00,22.34,22.34,22.23,22.31,1792,1,969800
2021-08-04 10:50:00,22.31,22.38,22.29,22.3,1274,1,791300
2021-08-04 10:55:00,22.3,22.31,22.23,22.26,2186,1,719400
2021-08-04 11:00:00,22.26,22.26,22.12,22.22,3377,1,1986700
2021-08-04 11:05:00,22.23,22.25,22.16,22.25,1090,1,741800
2021-08-04 11:10:00,22.25,22.33,22.2,22.33,1555,1,615700
2021-08-04 11:15:00,22.33,22.33,22.25,22.28,1991,1,835600
2021-08-04 11:20:00,22.28,22.29,22.2,22.22,2073,1,902000
2021-08-04 11:25:00,22.23,22.28,22.2,22.24,1751,1,553200
2021-08-04 11:30:00,22.24,22.24,22.17,22.2,4429,1,1090900
2021-08-04 11:35:00,22.19,22.24,22.17,22.19,749,1,583400
2021-08-04 11:40:00,22.19,22.25,22.14,22.21,1209,1,1111000
2021-08-04 11:45:00,22.21,22.23,22.16,22.19,776,1,447500
2021-08-04 11:50:00,22.19,22.22,22.16,22.2,2040,1,609800
2021-08-04 11:55:00,22.19,22.25,22.17,22.23,866,1,436300
2021-08-04 12:00:00,22.23,22.25,22.17,22.19,858,1,386500
2021-08-04 12:05:00,22.18,22.24,22.16,22.16,878,1,412700
2021-08-04 12:10:00,22.17,22.21,22.16,22.19,634,1,293500
2021-08-04 12:15:00,22.19,22.2,22.1,22.14,2575,1,2490300
2021-08-04 12:20:00,22.14,22.17,22.08,22.13,2123,1,3438300
2021-08-04 12:25:00,22.14,22.17,22.11,22.13,1173,1,422100
2021-08-04 12:30:00,22.13,22.16,22.04,22.1,1266,1,2904800
2021-08-04 12:35:00,22.1,22.11,22.02,22.08,2134,1,1053800
2021-08-04 12:40:00,22.08,22.09,22.03,22.06,1660,1,1613600
2021-08-04 12:45:00,22.06,22.08,22.05,22.06,832,1,699900
2021-08-04 12:50:00,22.05,22.05,21.94,21.97,4199,1,2025700
2021-08-04 12:55:00,21.97,22.01,21.94,21.98,4134,1,2307800
2021-08-04 13:00:00,21.98,22.01,21.96,22.01,1521,1,624800
2021-08-04 13:05:00,22.0,22.05,21.99,22.04,2841,1,1326800
2021-08-04 13:10:00,22.03,22.06,22.02,22.06,1399,1,775100
2021-08-04 13:15:00,22.05,22.08,21.97,21.97,2316,1,1653500
2021-08-04 13:20:00,21.97,22.02,21.97,22.0,703,1,469400
2021-08-04 13:25:00,21.99,22.03,21.97,22.02,1994,1,688800
2021-08-04 13:30:00,22.02,22.03,21.93,21.97,3106,1,1155900
2021-08-04 13:35:00,21.97,22.03,21.96,21.99,1758,1,751400
2021-08-04 13:40:00,21.99,22.03,21.97,22.0,1297,1,758700
2021-08-04 13:45:00,22.01,22.04,21.99,22.03,1613,1,1110000
2021-08-04 13:50:00,22.04,22.1,22.03,22.07,1936,1,4045700
2021-08-04 13:55:00,22.07,22.11,22.06,22.1,1189,1,772700
2021-08-04 14:00:00,22.1,22.15,22.09,22.14,1818,1,1585100
2021-08-04 14:05:00,22.15,22.19,22.13,22.14,938,1,568200
2021-08-04 14:10:00,22.14,22.19,22.14,22.14,659,1,360900
2021-08-04 14:15:00,22.14,22.17,22.12,22.15,643,1,412000
2021-08-04 14:20:00,22.15,22.25,22.13,22.23,2695,1,1308700
2021-08-04 14:25:00,22.24,22.28,22.19,22.25,1322,1,2016900
2021-08-04 14:30:00,22.27,22.34,22.25,22.31,1550,1,1514200
2021-08-04 14:35:00,22.31,22.34,22.26,22.29,917,1,507900
2021-08-04 14:40:00,22.29,22.3,22.25,22.28,1002,1,595600
2021-08-04 14:45:00,22.27,22.4,22.27,22.39,1705,1,1661800
2021-08-04 14:50:00,22.39,22.42,22.35,22.41,1335,1,1193500
2021-08-04 14:55:00,22.41,22.47,22.35,22.46,1684,1,1090100
2021-08-04 15:00:00,22.45,22.45,22.35,22.36,977,1,1088100
2021-08-04 15:05:00,22.37,22.41,22.35,22.37,885,1,819100
2021-08-04 15:10:00,22.37,22.4,22.35,22.4,708,1,274000
2021-08-04 15:15:00,22.4,22.42,22.35,22.38,652,1,344400
2021-08-04 15:20:00,22.38,22.41,22.37,22.39,997,1,516200
2021-08-04 15:25:00,22.39,22.41,22.34,22.36,802,1,664700
2021-08-04 15:30:00,22.35,22.37,22.34,22.36,671,1,444700
2021-08-04 15:35:00,22.35,22.39,22.34,22.37,623,1,316600
2021-08-04 15:40:00,22.36,22.42,22.36,22.42,659,1,424300
2021-08-04 15:45:00,22.42,22.42,22.33,22.34,1003,1,673900
2021-08-04 15:50:00,22.33,22.35,22.3,22.32,670,1,305600
2021-08-04 15:55:00,22.32,22.39,22.31,22.36,770,1,653500
2021-08-04 16:00:00,22.36,22.38,22.35,22.38,541,1,256000
2021-08-04 16:05:00,22.38,22.4,22.35,22.36,729,1,411700
2021-08-04 16:10:00,22.36,22.39,22.35,22.38,833,1,339900
2021-08-04 16:15:00,22.39,22.4,22.32,22.33,861,1,517800
2021-08-04 16:20:00,22.34,22.34,22.29,22.31,767,1,281700
2021-08-04 16:25:00,22.31,22.41,22.3,22.4,1924,1,4350200
2021-08-04 16:30:00,22.41,22.44,22.38,22.42,1646,1,1257800
2021-08-04 16:35:00,22.42,22.43,22.39,22.4,1637,1,1152700
2021-08-04 16:40:00,22.41,22.41,22.26,22.3,1989,1,1584200
2021-08-04 16:45:00,22.29,22.32,22.27,22.3,1652,1,1118300
2021-08-04 16:50:00,22.3,22.32,22.19,22.21,2277,1,4907300
2021-08-05 10:15:00,24.3,24.37,24.0,24.1,9741,1,22408400
2021-08-05 10:20:00,24.1,24.19,23.88,23.94,12545,1,18613800
2021-08-05 10:25:00,23.99,24.04,23.84,23.87,7845,1,7760700
2021-08-05 10:30:00,23.87,24.07,23.72,24.0,9219,1,9607900
2021-08-05 10:35:00,23.99,24.15,23.96,24.12,12621,1,10266700
2021-08-05 10:40:00,24.12,24.15,24.0,24.08,7506,1,5243100
2021-08-05 10:45:00,24.06,24.14,24.0,24.09,6852,1,4991800
2021-08-05 10:50:00,24.09,24.11,24.04,24.09,20474,1,5565900
2021-08-05 10:55:00,24.09,24.17,24.07,24.14,18271,1,7101300
2021-08-05 11:00:00,24.14,24.23,24.13,24.21,10791,1,3680700
2021-08-05 11:05:00,24.21,24.25,24.16,24.17,7949,1,2760300
2021-08-05 11:10:00,24.18,24.37,24.16,24.33,21677,1,9418300
2021-08-05 11:15:00,24.33,24.39,24.3,24.37,20447,1,6523500
2021-08-05 11:20:00,24.37,24.49,24.37,24.43,8535,1,5195400
2021-08-05 11:25:00,24.43,24.48,24.42,24.44,4227,1,3816200
2021-08-05 11:30:00,24.44,24.47,24.34,24.38,4245,1,4189700
2021-08-05 11:35:00,24.39,24.44,24.32,24.33,2986,1,3088900
2021-08-05 11:40:00,24.33,24.37,24.25,24.26,10537,1,3525500
2021-08-05 11:45:00,24.25,24.37,24.25,24.33,12270,1,3047600
2021-08-05 11:50:00,24.33,24.37,24.29,24.32,7706,1,1895600
2021-08-05 11:55:00,24.32,24.33,24.3,24.31,2250,1,1210500
2021-08-05 12:00:00,24.3,24.33,24.25,24.25,3138,1,1628800
2021-08-05 12:05:00,24.26,24.29,24.23,24.27,1820,1,1914200
2021-08-05 12:10:00,24.27,24.33,24.26,24.31,3881,1,3093000
2021-08-05 12:15:00,24.31,24.31,24.21,24.25,5120,1,2139200
2021-08-05 12:20:00,24.24,24.27,24.2,24.24,1832,1,1394600
2021-08-05 12:25:00,24.23,24.26,24.21,24.21,1694,1,2297200
2021-08-05 12:30:00,24.21,24.25,24.19,24.23,1671,1,1139700
2021-08-05 12:35:00,24.22,24.23,24.14,24.16,1567,1,1343100
2021-08-05 12:40:00,24.16,24.24,24.15,24.21,2409,1,1753600
2021-08-05 12:45:00,24.2,24.24,24.19,24.23,2218,1,787500
2021-08-05 12:50:00,24.23,24.26,24.23,24.25,3336,1,1187100
2021-08-05 12:55:00,24.25,24.26,24.21,24.23,1408,1,699900
2021-08-05 13:00:00,24.22,24.26,24.21,24.23,1546,1,714000
2021-08-05 13:05:00,24.22,24.27,24.2,24.26,1890,1,1035900
2021-08-05 13:10:00,24.26,24.29,24.22,24.26,2187,1,813500
2021-08-05 13:15:00,24.26,24.28,24.21,24.24,1542,1,504000
2021-08-05 13:20:00,24.24,24.26,24.18,24.21,1374,1,1081000
2021-08-05 13:25:00,24.19,24.21,24.16,24.17,1713,1,1245100
2021-08-05 13:30:00,24.17,24.22,24.16,24.18,1236,1,754200
2021-08-05 13:35:00,24.17,24.19,24.15,24.16,1360,1,677500
2021-08-05 13:40:00,24.15,24.26,24.14,24.16,3892,1,2699900
2021-08-05 13:45:00,24.16,24.2,24.16,24.16,849,1,1410800
2021-08-05 13:50:00,24.16,24.18,24.1,24.13,1497,1,977700
2021-08-05 13:55:00,24.13,24.14,24.06,24.06,1469,1,1012300
2021-08-05 14:00:00,24.07,24.1,24.04,24.05,1436,1,1083200
2021-08-05 14:05:00,24.05,24.16,24.01,24.15,1648,1,1549500
2021-08-05 14:10:00,24.15,24.16,24.09,24.1,1712,1,1323100
2021-08-05 14:15:00,24.1,24.15,24.01,24.05,4321,1,2982900
2021-08-05 14:20:00,24.04,24.09,24.01,24.09,1138,1,1042500
2021-08-05 14:25:00,24.09,24.12,24.05,24.11,2505,1,1983400
2021-08-05 14:30:00,24.11,24.14,24.03,24.06,2022,1,1117700
2021-08-05 14:35:00,24.06,24.09,24.03,24.05,996,1,813300
2021-08-05 14:40:00,24.05,24.07,24.04,24.05,878,1,471000
2021-08-05 14:45:00,24.05,24.12,24.03,24.1,1503,1,1041600
2021-08-05 14:50:00,24.09,24.16,24.09,24.1,1090,1,945200
2021-08-05 14:55:00,24.1,24.16,24.08,24.15,1069,1,815100
2021-08-05 15:00:00,24.15,24.19,24.14,24.15,1297,1,1180100
2021-08-05 15:05:00,24.15,24.17,24.1,24.12,1439,1,1372100
2021-08-05 15:10:00,24.11,24.13,24.05,24.08,1465,1,1138500
2021-08-05 15:15:00,24.07,24.08,24.05,24.06,1246,1,1038000
2021-08-05 15:20:00,24.05,24.06,24.02,24.06,1264,1,1048000
2021-08-05 15:25:00,24.05,24.1,24.05,24.1,1235,1,1005500
2021-08-05 15:30:00,24.1,24.1,24.02,24.05,809,1,470000
2021-08-05 15:35:00,24.04,24.05,24.02,24.03,701,1,374700
2021-08-05 15:40:00,24.03,24.06,24.01,24.02,984,1,654700
2021-08-05 15:45:00,24.01,24.04,23.91,23.91,2214,1,2790900
2021-08-05 15:50:00,23.91,23.92,23.8,23.8,2552,1,2134900
2021-08-05 15:55:00,23.8,23.93,23.8,23.9,1992,1,2050700
2021-08-05 16:00:00,23.9,23.95,23.88,23.94,1101,1,680900
2021-08-05 16:05:00,23.94,23.97,23.92,23.94,1042,1,908000
2021-08-05 16:10:00,23.94,24.03,23.94,24.0,2985,1,2207400
2021-08-05 16:15:00,24.0,24.05,23.97,24.01,1774,1,1277900
2021-08-05 16:20:00,24.01,24.04,23.94,23.95,1578,1,816300
2021-08-05 16:25:00,23.95,23.96,23.88,23.94,2045,1,1588300
2021-08-05 16:30:00,23.94,23.99,23.92,23.99,1700,1,1100600
2021-08-05 16:35:00,23.98,24.01,23.94,23.95,1980,1,1360500
2021-08-05 16:40:00,23.95,24.02,23.94,24.02,2027,1,1000100
2021-08-05 16:45:00,24.01,24.04,23.95,23.97,2672,1,1973600
2021-08-05 16:50:00,23.96,23.97,23.9,23.96,3295,1,7433600
2021-08-06 10:05:00,24.09,24.12,24.01,24.08,918,1,1406800
2021-08-06 10:10:00,24.07,24.11,24.02,24.08,1371,1,1316000
2021-08-06 10:15:00,24.08,24.11,23.92,23.92,1504,1,1298100
2021-08-06 10:20:00,23.92,24.03,23.92,24.01,730,1,497500
2021-08-06 10:25:00,24.01,24.02,23.94,23.97,913,1,761900
2021-08-06 10:30:00,23.97,23.99,23.8,23.84,2726,1,2517600
2021-08-06 10:35:00,23.84,23.85,23.68,23.83,2586,1,2059500
2021-08-06 10:40:00,23.84,23.94,23.82,23.93,1209,1,1096700
2021-08-06 10:45:00,23.93,23.94,23.83,23.89,883,1,625100
2021-08-06 10:50:00,23.89,23.91,23.8,23.85,1119,1,611500
2021-08-06 10:55:00,23.86,23.94,23.82,23.92,1470,1,1302000
2021-08-06 11:00:00,23.92,23.96,23.86,23.91,1251,1,849500
2021-08-06 11:05:00,23.91,23.95,23.9,23.91,774,1,623600
2021-08-06 11:10:00,23.91,23.96,23.9,23.95,1002,1,716500
2021-08-06 11:15:00,23.96,23.96,23.89,23.89,723,1,338300
2021-08-06 11:20:00,23.89,23.91,23.85,23.91,902,1,362300
2021-08-06 11:25:00,23.9,23.91,23.88,23.88,646,1,252200
2021-08-06 11:30:00,23.88,23.91,23.84,23.88,832,1,406600
2021-08-06 11:35:00,23.88,23.92,23.88,23.92,943,1,1057600
2021-08-06 11:40:00,23.91,23.94,23.9,23.94,1014,1,1006100
2021-08-06 11:45:00,23.93,23.96,23.88,23.89,1108,1,646900
2021-08-06 11:50:00,23.89,23.92,23.81,23.84,1150,1,711500
2021-08-06 11:55:00,23.84,23.88,23.83,23.86,622,1,407000
2021-08-06 12:00:00,23.86,23.89,23.85,23.87,585,1,180900
2021-08-06 12:05:00,23.87,23.91,23.85,23.88,525,1,216900
2021-08-06 12:10:00,23.88,23.89,23.83,23.84,1268,1,724100
2021-08-06 12:15:00,23.84,23.89,23.84,23.86,577,1,692000
2021-08-06 12:20:00,23.86,23.92,23.85,23.91,842,1,846600
2021-08-06 12:25:00,23.92,23.92,23.87,23.88,617,1,228700
2021-08-06 12:30:00,23.88,23.89,23.85,23.87,618,1,255400
2021-08-06 12:35:00,23.86,23.92,23.86,23.89,636,1,352700
2021-08-06 12:40:00,23.89,23.92,23.88,23.88,636,1,197000
2021-08-06 12:45:00,23.89,23.91,23.88,23.89,567,1,219000
2021-08-06 12:50:00,23.9,23.94,23.89,23.93,931,1,1411500
2021-08-06 12:55:00,23.93,23.95,23.93,23.95,841,1,534200
2021-08-06 13:00:00,23.95,23.95,23.92,23.95,667,1,243600
2021-08-06 13:05:00,23.95,24.01,23.94,24.0,1232,1,1361500
2021-08-06 13:10:00,24.0,24.0,23.9,23.94,932,1,686300
2021-08-06 13:15:00,23.94,23.95,23.88,23.88,788,1,732500
2021-08-06 13:20:00,23.89,23.93,23.88,23.9,448,1,141400
2021-08-06 13:25:00,23.9,23.95,23.9,23.95,670,1,248800
2021-08-06 13:30:00,23.94,23.97,23.92,23.94,550,1,289500
2021-08-06 13:35:00,23.93,23.97,23.93,23.97,531,1,161800
2021-08-06 13:40:00,23.96,23.99,23.95,23.96,655,1,306100
2021-08-06 13:45:00,23.96,23.99,23.94,23.99,669,1,279000
2021-08-06 13:50:00,23.99,24.04,23.99,23.99,783,1,585000
2021-08-06 13:55:00,23.99,24.0,23.94,23.96,739,1,563100
2021-08-06 14:00:00,23.96,24.0,23.95,23.99,563,1,264600
2021-08-06 14:05:00,23.99,24.01,23.97,24.0,980,1,453200
