Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;199.733.824;0,302
TTEN3;3TENTOS;ON      NM;109.803.922;0,042
ABCB4;ABC BRASIL;PN      N2;68.627.529;0,044
AERI3;AERIS;ON      NM;218.058.827;0,053
AESB3;AES BRASIL;ON      NM;262.255.471;0,12
ALSO3;ALIANSCSONAE;ON      NM;126.260.263;0,112
AALR3;ALLIAR;ON      NM;54.141.659;0,035
ALLD3;ALLIED;ON      NM;30.521.979;0,019
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,194
ALUP11;ALUPAR;UNT     N2;140.050.337;0,14
ABEV3;AMBEV S/A;ON;4.359.908.680;2,61
AMBP3;AMBIPAR;ON      NM;43.853.759;0,069
AMER3;AMERICANAS;ON      NM;605.489.422;0,763
ANIM3;ANIMA;ON      NM;289.440.660;0,097
ARZZ3;AREZZO CO;ON      NM;53.951.069;0,171
ARML3;ARMAC;ON      NM;170.115.256;0,136
ASAI3;ASSAI;ON      NM;794.310.097;0,394
AZUL4;AZUL;PN      N2;327.741.172;0,355
B3SA3;B3;ON      NM;6.065.856.318;3,585
BMGB4;BANCO BMG;PN      N1;100.300.860;0,013
BIDI11;BANCO INTER;UNT     N2;577.852.934;0,573
BPAN4;BANCO PAN;PN      N1;341.124.068;0,139
BRSR6;BANRISUL;PNB     N1;202.535.840;0,088
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,611
BMOB3;BEMOBI TECH;ON      NM;86.869.818;0,051
BKBR3;BK BRASIL;ON      NM;272.245.759;0,069
BLAU3;BLAU;ON      NM;31.393.939;0,044
BOAS3;BOA VISTA;ON      NM;531.381.332;0,113
BRML3;BR MALLS PAR;ON      NM;834.170.584;0,315
BRPR3;BR PROPERT;ON      NM;187.579.163;0,054
BBDC3;BRADESCO;ON      N1;1.378.842.305;1,028
BBDC4;BRADESCO;PN      N1;4.691.427.537;4,251
BRAP4;BRADESPAR;PN      N1;251.414.753;0,273
BBAS3;BRASIL;ON      NM;1.420.530.937;1,85
AGRO3;BRASILAGRO;ON      NM;51.771.532;0,056
BRKM5;BRASKEM;PNA     N1;264.642.296;0,531
BRFS3;BRF SA;ON      NM;811.759.800;0,744
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,224
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,176
CAML3;CAMIL;ON      NM;112.431.845;0,04
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,273
CBAV3;CBA;ON      NM;143.721.645;0,097
CCRO3;CCR SA;ON      NM;1.115.693.556;0,569
CEAB3;CEA MODAS;ON      NM;106.394.635;0,027
CMIG3;CEMIG;ON      N1;277.516.331;0,199
CMIG4;CEMIG;PN      N1;1.114.214.662;0,582
CESP6;CESP;PNB     N1;182.017.689;0,168
CIEL3;CIELO;ON      NM;1.144.359.228;0,105
CLSA3;CLEARSALE;ON      NM;53.512.890;0,024
COGN3;COGNA ON;ON      NM;1.828.106.676;0,185
CSMG3;COPASA;ON      NM;188.444.559;0,097
CPLE3;COPEL;ON      N2;319.774.264;0,079
CPLE6;COPEL;PNB     N2;1.563.365.506;0,446
CSAN3;COSAN;ON      NM;1.169.237.744;1,088
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,214
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,321
