,Ticker
0,GNDI3
1,APER3
2,CASH3
3,RCSL3
4,DASA3
5,RCSL4
6,MAPT4
7,NORD3
8,FRTA3
9,ELMD3
10,EMBR3
11,RRRP3
12,VLID3
13,ORVR3
14,OPCT3
15,DTCY3
16,TELB3
17,HBSA3
18,ECOR3
19,TCNO3
20,HBRE3
21,BIOM3
22,TCNO4
23,WEST3
24,FRIO3
25,MEAL3
26,AMAR3
27,MBLY3
28,TELB4
29,ECPR4
30,BAHI3
31,ENJU3
32,ALPK3
33,PINE4
34,TXRX4
35,CEED3
36,CTNM3
37,BKBR3
38,IRBR3
39,AHEB3
40,ESTR4
41,SGPS3
42,SHOW3
43,OIBR4
44,CRDE3
45,AZUL4
46,MMXM3
47,VIVR3
48,CTNM4
49,TCSA3
50,GOLL4
51,OIBR3
52,AVLL3
53,HOOT4
54,PLAS3
55,COGN3
56,GSHP3
57,RPMG3
58,PMAM3
59,INEP3
60,JFEN3
61,INEP4
62,ATMP3
63,BBRK3
64,MTIG4
65,IGBR3
66,BDLL3
67,BDLL4
68,SNSY5
69,PDGR3
70,SLED3
71,TEKA3
72,MTIG3
73,LLIS3
74,SLED4
75,OSXB3
76,TEKA4
77,HETA4
78,MATD3
79,MWET4
80,MWET3
81,MGEL4
82,CEBR6
83,CEBR5
84,CEBR3
85,GPIV33
86,RSID3
87,TPIS3
88,CTKA4
89,HBTS5
90,LUPA3
91,AZEV4
92,BRAP3
93,BRKM6
94,BAZA3
95,BRAP4
96,AZEV3
97,RNEW4
98,USIM3
99,MNDL3
100,RNEW11
101,CSNA3
102,USIM5
103,HAGA4
104,CLSC3
105,EUCA4
106,RNEW3
107,USIM6
108,CLSC4
109,GOAU3
110,BRKM3
111,FHER3
112,MRFG3
113,BRKM5
114,PEAB3
115,GGBR3
116,ETER3
117,GOAU4
118,CPLE3
119,PETR4
120,TKNO4
121,BOBR4
122,CTKA3
123,DOHL4
124,PETR3
125,CPLE6
126,PEAB4
127,PCAR3
128,TASA4
129,CESP3
130,TASA3
131,CESP6
132,DMMO3
133,RAPT4
134,GGBR4
135,BGIP4
136,RAPT3
137,DEXP4
138,ALLD3
139,CGRA4
140,CGRA3
141,CESP5
142,EUCA3
143,POSI3
144,CTSA4
145,TRPL4
146,CEPE5
147,PATI4
148,JHSF3
149,CEDO4
150,BRSR6
151,JBSS3
152,NEOE3
153,DEXP3
154,BNBR3
155,VALE3
156,PLPL3
157,TAEE4
158,TAEE11
159,TAEE3
160,PATI3
161,SAPR3
162,BRSR3
163,CEEB3
164,HBOR3
165,ALUP3
166,CSRN3
167,CMIG4
168,CSRN5
169,ALUP11
170,MNPR3
171,ENAT3
172,EALT4
173,SAPR11
174,LIGT3
175,SAPR4
176,ALUP4
177,BBAS3
178,TRPL3
179,ESPA3
180,BGIP3
181,ENGI4
182,LAVV3
183,ROMI3
184,UNIP3
185,POMO3
186,CMIN3
187,VBBR3
188,UNIP5
189,ENBR3
190,UNIP6
191,CEDO3
192,BMEB4
193,PTNT4
194,CRPG5
195,RANI3
196,GEPA3
197,PTBL3
198,CTSA3
