,Date,open,high,low,close,vol tick
0,2017.01.02,143878,144948,143830,144222,103829
1,2017.01.03,144219,145383,143513,144079,199402
2,2017.01.04,144020,144936,143673,144415,216421
3,2017.01.05,144335,144636,142478,143166,277950
4,2017.01.06,143122,144033,142963,143643,231247
5,2017.01.09,143344,143841,141040,141081,213579
6,2017.01.10,141034,141432,140164,140933,237885
7,2017.01.11,140911,141458,139929,140918,266296
8,2017.01.12,140801,140975,138907,139458,290226
9,2017.01.13,139405,140560,139079,139080,240355
10,2017.01.16,137132,138137,136446,137483,207782
11,2017.01.17,137505,140124,137044,139777,298972
12,2017.01.18,139696,140660,139122,140500,267982
13,2017.01.19,140498,142162,140345,141721,270746
14,2017.01.20,141732,142058,141158,141449,267885
15,2017.01.23,141506,142068,140746,141214,263725
16,2017.01.24,141203,142501,140756,142441,241206
17,2017.01.25,142417,143696,141812,143063,249961
18,2017.01.26,143043,144512,142871,144186,246200
19,2017.01.27,144216,144773,143980,144338,214660
20,2017.01.30,144254,144596,141657,142008,219757
21,2017.01.31,141917,142449,140430,141834,268905
22,2017.02.01,141806,144113,141633,143280,247690
23,2017.02.02,143274,143512,140748,141240,250478
24,2017.02.03,141226,141965,140184,140184,231522
25,2017.02.06,140365,140745,139201,139243,216051
26,2017.02.07,139239,140589,138525,140528,226067
27,2017.02.08,140538,140665,139788,140346,228355
28,2017.02.09,140338,141796,140019,141484,213687
29,2017.02.10,141457,142357,140924,140993,220762
30,2017.02.13,141591,142601,141375,142412,197830
31,2017.02.14,142404,142704,141003,142383,218493
32,2017.02.15,142452,142797,141828,142199,208218
33,2017.02.16,142156,142449,141235,141379,205628
34,2017.02.17,141329,141934,139615,139681,191420
35,2017.02.20,139990,141247,139990,140866,149179
36,2017.02.21,140882,141851,140842,141771,200238
37,2017.02.22,141711,142021,140462,141062,220436
38,2017.02.23,141026,141535,140673,141373,201943
39,2017.02.24,141300,141756,139304,139357,204244
40,2017.02.27,139813,140360,138993,140168,214172
41,2017.02.28,140176,140309,138814,139586,210530
42,2017.03.01,139516,140724,139483,139762,251584
43,2017.03.02,139774,140738,139703,140366,207981
44,2017.03.03,140303,140487,139590,139834,212914
45,2017.03.06,139913,140310,139266,139336,176858
46,2017.03.07,139336,139621,138715,139015,179828
47,2017.03.08,138948,139650,138427,139108,202437
48,2017.03.09,139103,140020,139041,139804,234879
49,2017.03.10,139814,140527,139351,139457,226295
50,2017.03.13,139644,140482,139491,140302,201345
51,2017.03.14,140302,140405,139141,139444,197554
52,2017.03.15,139443,140603,139104,139403,208348
53,2017.03.16,139405,140173,138544,140017,242261
54,2017.03.17,140012,140454,139144,139628,192301
55,2017.03.20,139534,140128,138883,139012,167699
56,2017.03.21,139015,140397,138903,139395,228935
57,2017.03.22,139394,139479,137745,138831,243708
58,2017.03.23,138831,139314,138284,138889,230892
59,2017.03.24,138891,139148,138290,138616,205823
60,2017.03.27,138429,139095,138028,138939,219083
61,2017.03.28,138917,139385,138032,138385,200452
62,2017.03.29,138290,138490,137506,138039,216823
63,2017.03.30,138041,139590,137732,139504,199298
64,2017.03.31,139488,140075,138965,139508,217145
65,2017.04.03,139655,139889,138291,138433,187339
66,2017.04.04,138421,138476,137073,137718,191878
67,2017.04.05,137706,139027,137444,138169,198278
68,2017.04.06,138160,138704,137706,138137,177752
69,2017.04.07,138095,138326,136938,137201,218519
